GeneID	WT_na1	WT_na2	11_WT_na_CD8	dKO_na1	12_dKO_na_CD8
ID_2640	19	27	32	39	50
ID_2641	13	32	50	20	27
ID_2642	14	46	49	19	35
ID_2643	2	17	21	16	25
ID_2644	41	70	74	62	80
ID_2645	29	56	52	47	61
ID_2646	0	0	0	0	0
ID_2647	56	114	95	51	101
ID_2648	6	23	24	18	13
ID_2649	35	47	47	33	63
ID_2650	6	18	13	6	22
ID_2651	23	40	49	32	36
ID_2652	89	136	142	138	173
ID_2653	37	83	66	60	70
ID_2654	75	155	147	88	171
ID_2655	19	46	43	50	97
ID_2656	37	98	94	65	93
ID_2657	4	13	9	22	29
ID_2658	25	71	95	68	123
ID_2659	8	28	32	18	30
ID_2660	18	53	27	31	40
ID_2661	15	16	30	25	43
ID_2662	21	34	55	12	22
ID_2663	7	23	13	15	20
ID_2664	9	17	19	12	24
ID_2665	12	35	44	24	29
ID_2666	15	36	24	16	41
ID_2667	9	20	31	12	18
ID_2668	7	29	26	9	12
ID_2669	39	115	122	77	125
ID_2670	17	33	46	24	39
ID_2671	16	29	45	30	45
ID_2672	18	30	38	24	35
ID_2673	6	10	13	6	23
ID_2674	6	21	23	10	61
ID_2675	19	39	45	24	72
ID_2676	16	14	21	27	19
ID_2677	27	43	49	14	26
ID_2678	6	19	20	11	30
ID_2679	24	30	48	20	33
ID_2680	44	71	79	27	30
ID_2681	11	30	29	28	35
ID_2682	20	58	78	36	69
ID_2683	14	13	18	14	14
ID_2684	39	73	90	46	49
ID_2685	56	85	105	38	81
ID_2686	21	28	27	8	20
ID_2687	28	82	96	39	64
ID_2688	12	31	35	28	33
ID_2689	19	53	46	50	49
ID_2690	9	31	28	18	26
ID_2691	12	29	30	22	28
ID_2692	13	42	33	23	26
ID_2693	22	39	47	52	73
ID_2694	14	23	21	17	22
ID_2695	36	113	95	60	102
ID_2696	22	51	75	36	80
ID_2697	16	33	24	14	26
ID_2698	20	58	39	31	56
ID_2699	22	50	47	17	32
ID_2700	20	40	36	31	40
ID_2701	28	68	73	56	71
ID_2702	31	86	81	52	104
ID_2703	45	78	95	28	70
ID_2704	31	79	74	42	104
ID_2705	8	20	18	18	25
ID_2706	6	13	9	19	8
ID_2707	86	186	183	133	221
ID_2708	33	64	47	28	18
ID_2709	6	22	23	13	17
ID_2710	18	35	54	14	32
ID_2711	38	69	53	44	59
ID_2712	10	33	30	10	34
ID_2713	9	43	37	18	20
ID_2714	7	32	26	11	21
ID_2715	21	46	54	30	62
ID_2716	13	27	43	31	38
ID_2717	44	164	156	66	125
ID_2718	27	43	56	13	35
ID_2719	11	25	29	9	11
ID_2720	14	22	27	27	64
ID_2721	13	13	17	27	40
ID_2722	15	35	48	34	69
ID_2723	31	83	75	78	128
ID_2724	5	19	20	19	30
ID_2725	12	15	31	5	13
ID_2726	20	29	59	7	18
ID_2727	18	55	45	27	47
ID_2728	9	18	20	9	26
ID_2729	14	21	20	20	29
ID_2730	35	90	71	56	89
ID_2731	53	135	106	80	101
ID_2732	34	63	88	24	59
ID_2733	67	112	134	112	141
ID_2734	59	114	118	87	180
ID_2735	35	75	78	57	84
ID_2736	72	153	190	119	180
ID_2737	14	54	24	20	28
ID_2738	11	21	20	13	12
ID_2739	21	45	53	22	56
ID_2740	84	196	188	123	207
ID_2741	14	33	24	31	29
ID_2742	41	94	86	55	93
ID_2743	39	122	68	79	83
ID_2744	33	105	90	50	58
ID_2745	8	16	23	12	32
ID_2746	9	33	37	28	33
ID_2747	37	79	81	47	68
ID_2748	5	16	18	15	12
ID_2749	126	261	215	173	232
ID_2750	29	87	81	54	76
ID_2751	19	33	21	19	18
ID_2752	6	20	10	6	8
ID_2753	8	12	6	21	14
ID_2754	9	23	8	30	31
ID_2755	10	23	24	29	58
ID_2756	3	13	15	9	38
ID_2757	43	150	132	62	129
ID_2758	37	114	101	44	97
ID_2759	25	60	50	24	35
ID_2760	10	15	15	20	39
ID_2761	30	71	56	27	47
ID_2762	9	8	13	13	29
ID_2763	57	107	113	67	83
ID_2764	99	228	182	99	161
ID_2765	13	33	42	12	27
ID_2766	35	65	44	30	34
ID_2767	12	38	48	23	36
ID_2768	66	166	172	92	170
ID_2769	1	9	13	2	29
ID_2770	8	11	13	20	15
ID_2771	9	25	25	19	43
ID_2772	29	63	57	43	56
ID_2773	46	84	74	75	78
ID_2774	9	34	50	13	32
ID_2775	17	33	45	20	24
ID_2776	58	175	144	79	109
ID_2777	15	40	33	22	31
ID_2778	66	153	127	70	117
ID_2779	17	23	37	19	28
ID_2780	13	30	27	18	30
ID_2781	79	198	170	100	160
ID_2782	9	30	26	20	30
ID_2783	15	57	54	27	25
ID_2784	1	6	6	8	29
ID_2785	11	24	21	13	18
ID_2786	50	131	121	71	116
ID_2787	36	94	84	47	72
ID_2788	37	93	93	89	120
ID_2789	38	91	78	65	79
ID_2790	44	98	94	69	80
ID_2791	10	33	26	26	26
ID_2792	27	57	57	55	49
ID_2793	20	29	30	19	30
ID_2794	54	161	154	93	168
ID_2795	30	64	57	30	52
ID_2796	23	98	54	45	52
ID_2797	24	91	84	56	74
ID_2798	16	34	49	26	38
ID_2799	32	93	79	38	65
ID_2800	18	49	43	23	30
ID_2801	45	153	141	58	118
ID_2802	16	45	34	28	51
ID_2803	28	57	59	29	55
ID_2804	41	100	120	74	111
ID_2805	14	48	43	22	21
ID_2806	18	36	36	28	43
ID_2807	20	39	47	22	34
ID_2808	9	31	11	7	27
ID_2809	30	40	53	12	16
ID_2810	21	21	26	28	29
ID_2811	8	22	17	6	6
ID_2812	6	16	10	14	9
ID_2813	0	0	0	0	0
ID_2814	8	21	29	20	30
ID_2815	20	37	36	22	34
ID_2816	72	189	145	114	181
ID_2817	46	98	110	61	111
ID_2818	18	52	37	29	39
ID_2819	61	151	130	99	136
ID_2820	19	42	51	38	39
ID_2821	27	53	46	31	65
ID_2822	17	42	46	41	35
ID_2823	21	33	30	15	41
ID_2824	17	68	41	22	15
ID_2825	67	210	136	91	125
ID_2826	19	40	32	14	9
ID_2827	30	66	50	37	47
ID_2828	10	35	25	23	27
ID_2829	42	112	67	79	104
ID_2830	61	133	81	80	103
ID_2831	9	16	18	21	42
ID_2832	24	68	34	41	66
ID_2833	11	31	21	17	22
ID_2834	20	53	39	31	45
ID_2835	64	167	138	102	141
ID_2836	48	139	122	112	129
ID_2837	30	34	39	12	18
ID_2838	32	38	58	30	58
ID_2839	69	151	125	111	154
ID_2840	23	47	65	37	74
ID_2841	9	25	18	9	10
ID_2842	13	32	24	10	21
ID_2843	17	29	32	17	16
ID_2844	35	79	65	70	78
ID_2845	81	215	201	94	198
ID_2846	75	180	157	86	150
ID_2847	43	149	145	90	143
ID_2848	81	194	169	105	175
ID_2849	14	46	39	14	40
ID_2850	27	68	27	51	74
ID_2851	13	33	26	16	29
ID_2852	149	339	309	221	290
ID_2853	10	31	39	22	48
ID_2854	16	15	17	7	17
ID_2855	45	138	79	60	85
ID_2856	27	83	84	40	53
ID_2857	30	67	47	51	67
ID_2858	27	88	58	37	36
ID_2859	95	224	208	132	212
ID_2860	20	62	73	52	62
ID_2861	76	122	111	85	113
ID_2862	19	64	52	39	30
ID_2863	29	100	82	58	63
ID_2864	27	70	55	50	60
ID_2865	19	52	47	25	45
ID_2866	27	53	49	6	11
ID_2867	42	94	78	65	59
ID_2868	10	24	28	19	42
ID_2869	67	193	139	105	121
ID_2870	76	214	184	103	178
ID_2871	28	85	86	61	72
ID_2872	6	43	37	13	23
ID_2873	109	287	246	175	255
ID_2874	62	164	104	90	86
ID_2875	33	103	72	53	74
ID_2876	14	48	30	22	33
ID_2877	66	176	155	96	122
ID_2878	0	0	0	0	0
ID_2879	109	274	263	155	214
ID_2880	18	70	65	53	52
ID_2881	74	239	146	94	132
ID_2882	33	75	78	54	68
ID_2883	4	27	25	16	23
ID_2884	29	119	90	50	74
ID_2885	53	144	162	96	147
ID_2886	51	121	138	69	115
ID_2887	25	84	67	52	63
ID_2888	13	35	26	24	44
ID_2889	27	97	62	39	48
ID_2890	12	28	19	19	24
ID_2891	1	21	8	9	4
ID_2892	7	31	21	16	16
ID_2893	25	51	43	27	43
ID_2894	37	113	107	51	85
ID_2895	143	331	344	197	246
ID_2896	35	92	86	47	49
ID_2897	73	200	175	126	141
ID_2898	16	28	30	21	33
ID_2899	24	54	41	17	46
ID_2900	4	21	7	11	5
ID_2901	36	101	87	73	75
ID_2902	36	86	71	50	71
ID_2903	12	46	31	7	18
ID_2904	17	46	47	20	32
ID_2905	17	43	42	37	38
ID_2906	85	183	177	113	145
ID_2907	30	94	76	29	73
ID_2908	42	88	89	52	89
ID_2909	6	38	27	14	31
ID_2910	41	73	48	35	38
ID_2911	31	96	85	68	77
ID_2912	99	300	249	163	241
ID_2913	8	45	30	20	14
ID_2914	20	49	22	7	13
ID_2915	37	73	74	10	29
ID_2916	115	352	264	205	237
ID_2917	61	192	98	92	92
ID_2918	9	30	42	37	39
ID_2919	9	45	50	18	41
ID_2920	8	23	29	22	22
ID_2921	80	165	161	121	171
ID_2922	41	85	83	70	107
ID_2923	96	290	237	155	202
ID_2924	15	66	55	34	41
ID_2925	87	203	169	101	181
ID_2926	7	28	32	18	39
ID_2927	6	24	16	32	29
ID_2928	69	168	144	66	106
ID_2929	10	39	19	14	14
ID_2930	23	20	23	21	40
ID_2931	26	77	51	34	50
ID_2932	48	134	126	56	117
ID_2933	140	296	279	189	273
ID_2934	22	106	93	43	79
ID_2935	76	177	191	116	174
ID_2936	16	38	34	9	29
ID_2937	16	62	34	27	21
ID_2938	55	122	126	81	140
ID_2939	8	21	32	18	28
ID_2940	6	34	19	21	19
ID_2941	14	45	36	22	17
ID_2942	27	50	33	30	30
ID_2943	22	57	34	35	22
ID_2944	37	80	76	47	77
ID_2945	68	134	126	87	127
ID_2946	77	195	167	93	192
ID_2947	48	131	97	89	83
ID_2948	22	60	37	16	38
ID_2949	44	99	75	31	35
ID_2950	63	204	173	121	159
ID_2951	15	46	21	17	24
ID_2952	88	225	190	122	190
ID_2953	17	37	55	44	67
ID_2954	42	56	52	29	39
ID_2955	24	68	71	34	57
ID_2956	20	50	25	27	37
ID_2957	26	70	64	33	55
ID_2958	89	199	198	116	183
ID_2959	11	45	45	16	37
ID_2960	9	34	32	11	32
ID_2961	22	41	23	37	36
ID_2962	9	12	15	20	32
ID_2963	29	105	71	55	65
ID_2964	12	31	28	20	33
ID_2965	21	43	29	6	14
ID_2966	9	26	20	21	36
ID_2967	2	9	12	9	36
ID_2968	29	96	93	38	86
ID_2969	11	59	49	32	40
ID_2970	18	48	38	27	46
ID_2971	109	250	251	149	230
ID_2972	23	44	34	21	26
ID_2973	4	24	9	8	22
ID_2974	145	359	313	229	304
ID_2975	19	42	55	29	40
ID_2976	14	26	36	25	33
ID_2977	20	52	43	34	27
ID_2978	97	250	238	146	204
ID_2979	48	99	77	38	56
ID_2980	130	328	314	188	219
ID_2981	52	160	131	93	148
ID_2982	8	20	27	20	31
ID_2983	3	10	12	12	26
ID_2984	41	134	106	69	116
ID_2985	9	27	24	12	32
ID_2986	6	26	16	13	13
ID_2987	69	171	158	109	121
ID_2988	24	73	58	70	67
ID_2989	18	50	42	21	38
ID_2990	64	155	105	118	228
ID_2991	10	40	26	68	113
ID_2992	19	34	43	24	26
ID_2993	12	51	34	21	24
ID_2994	89	261	222	115	197
ID_2995	56	113	93	83	82
ID_2996	41	94	99	47	59
ID_2997	49	84	113	49	107
ID_2998	22	58	20	22	37
ID_2999	16	49	41	26	39
ID_3000	33	88	81	49	108
ID_3001	51	107	101	76	88
ID_3002	26	69	39	26	39
ID_3003	45	151	142	83	126
ID_3004	30	92	59	44	65
ID_3005	23	62	104	43	68
ID_3006	7	20	30	9	30
ID_3007	31	56	72	36	103
ID_3008	19	55	91	39	82
ID_3009	31	52	62	32	45
ID_3010	9	31	46	21	43
ID_3011	21	32	36	14	31
ID_3012	10	7	8	14	10
ID_3013	21	34	41	20	46
ID_3014	20	43	63	37	51
ID_3015	46	93	93	51	73
ID_3016	7	29	15	6	16
ID_3017	24	46	32	25	44
ID_3018	21	35	62	32	50
ID_3019	74	180	151	103	179
ID_3020	25	44	29	35	54
ID_3021	35	73	67	38	47
ID_3022	17	20	25	15	20
ID_3023	81	191	152	124	164
ID_3024	13	29	29	16	24
ID_3025	1	14	16	10	33
ID_3026	38	111	98	72	123
ID_3027	47	76	106	60	103
ID_3028	0	0	0	0	0
ID_3029	0	0	0	0	0
ID_3030	35	55	43	49	68
ID_3031	31	67	66	23	72
ID_3032	14	15	40	37	55
ID_3033	13	38	50	25	80
ID_3034	9	17	24	13	46
ID_3035	4	11	16	12	25
ID_3036	18	58	44	30	41
ID_3037	11	35	31	18	27
ID_3038	10	13	41	28	35
ID_3039	80	158	155	108	140
ID_3040	25	66	63	41	78
ID_3041	15	20	38	18	34
ID_3042	17	36	39	14	45
ID_3043	21	59	43	41	59
ID_3044	14	40	36	27	51
ID_3045	4	29	22	16	12
ID_3046	12	29	28	18	43
ID_3047	84	211	208	164	223
ID_3048	17	37	43	32	35
ID_3049	19	43	41	15	34
ID_3050	61	160	141	98	135
ID_3051	7	14	21	20	15
ID_3052	19	33	39	13	30
ID_3053	22	34	24	7	12
ID_3054	16	34	46	16	19
ID_3055	50	80	107	24	25
ID_3056	49	140	96	76	143
ID_3057	12	12	27	6	10
ID_3058	18	24	22	12	8
ID_3059	18	19	27	5	20
ID_3060	26	72	75	36	73
ID_3061	61	164	169	91	197
ID_3062	20	24	41	23	41
ID_3063	0	0	0	0	0
ID_3064	23	65	49	28	53
ID_3065	41	98	88	37	115
ID_3066	19	34	33	24	34
ID_3067	42	76	116	32	56
ID_3068	23	56	55	41	73
ID_3069	30	76	43	44	38
ID_3070	13	14	28	14	35
ID_3071	31	59	64	44	86
ID_3072	5	10	22	13	28
ID_3073	22	31	24	18	22
ID_3074	17	39	29	10	27
ID_3075	20	71	67	28	64
ID_3076	66	184	184	103	195
ID_3077	19	46	28	16	22
ID_3078	21	75	49	25	35
ID_3079	42	90	96	65	109
ID_3080	36	70	79	33	62
ID_3081	13	38	22	16	35
ID_3082	45	97	85	42	48
ID_3083	35	66	76	56	85
ID_3084	158	349	344	212	380
ID_3085	16	53	64	39	76
ID_3086	44	95	122	53	99
ID_3087	21	52	57	50	65
ID_3088	82	218	178	146	239
ID_3089	12	26	23	23	17
ID_3090	8	31	23	12	12
ID_3091	19	74	57	50	50
ID_3092	40	101	90	74	86
ID_3093	0	0	0	0	0
ID_3094	24	45	39	8	9
ID_3095	12	44	51	30	53
ID_3096	29	67	59	27	59
ID_3097	16	42	37	13	24
ID_3098	16	30	30	38	42
ID_3099	20	47	36	35	40
ID_3100	30	112	97	63	83
ID_3101	27	74	58	35	54
ID_3102	35	79	102	63	96
ID_3103	34	104	87	54	77
ID_3104	17	21	32	18	57
ID_3105	7	18	21	11	15
ID_3106	95	203	184	88	149
ID_3107	31	72	78	53	80
ID_3108	12	17	34	14	12
ID_3109	4	19	25	11	9
ID_3110	4	24	25	12	11
ID_3111	0	17	8	2	3
ID_3112	11	26	31	15	34
ID_3113	81	223	211	133	214
ID_3114	82	195	194	123	199
ID_3115	8	18	16	26	14
ID_3116	18	29	16	14	16
ID_3117	20	51	59	38	50
ID_3118	23	44	42	32	30
ID_3119	29	88	119	46	80
ID_3120	89	277	219	137	265
ID_3121	26	69	71	38	45
ID_3122	28	59	64	51	78
ID_3123	24	69	61	56	88
ID_3124	9	23	23	19	15
ID_3125	29	59	62	60	71
ID_3126	59	150	133	93	141
ID_3127	71	139	159	95	122
ID_3128	17	33	33	15	5
ID_3129	44	75	78	55	82
ID_3130	23	50	70	52	62
ID_3131	38	79	82	54	62
ID_3132	53	70	89	75	147
ID_3133	12	30	29	10	5
ID_3134	24	55	49	20	31
ID_3135	9	31	25	26	36
ID_3136	34	75	75	81	87
ID_3137	26	52	43	34	68
ID_3138	10	12	15	9	25
ID_3139	3	19	26	23	34
ID_3140	53	68	70	42	52
ID_3141	11	33	25	17	17
ID_3142	17	33	29	16	32
ID_3143	16	54	40	29	39
ID_3144	17	38	30	24	33
ID_3145	6	26	45	30	39
ID_3146	6	16	11	21	36
ID_3147	8	28	26	14	55
ID_3148	34	63	64	55	71
ID_3149	7	25	12	9	13
ID_3150	24	42	39	21	15
ID_3151	17	41	28	44	100
ID_3152	68	179	161	112	155
ID_3153	5	12	17	2	28
ID_3154	21	52	66	33	36
ID_3155	6	20	15	11	15
ID_3156	23	41	43	25	43
ID_3157	31	60	63	73	78
ID_3158	13	13	15	32	20
ID_3159	20	52	58	29	50
ID_3160	10	30	24	20	14
ID_3161	30	92	68	45	77
ID_3162	52	114	108	77	132
ID_3163	12	27	40	21	30
ID_3164	6	23	21	8	14
ID_3165	7	20	16	12	24
ID_3166	15	15	5	5	4
ID_3167	23	55	41	27	53
ID_3168	9	38	24	11	18
ID_3169	26	45	41	35	32
ID_3170	108	254	248	208	245
ID_3171	11	41	35	25	35
ID_3172	19	43	41	21	48
ID_3173	58	164	133	84	137
ID_3174	14	22	29	18	31
ID_3175	19	45	70	37	43
ID_3176	24	46	38	30	35
ID_3177	20	50	49	18	30
ID_3178	9	32	15	8	17
ID_3179	14	37	18	14	8
ID_3180	29	61	81	12	34
ID_3181	24	55	64	42	82
ID_3182	6	24	41	27	28
ID_3183	28	66	45	26	56
ID_3184	17	32	26	16	19
ID_3185	19	45	41	32	44
ID_3186	20	49	56	28	50
ID_3187	31	46	77	27	64
ID_3188	11	32	22	7	10
ID_3189	22	27	54	33	47
ID_3190	15	32	36	16	44
ID_3191	21	46	30	25	57
ID_3192	22	32	41	41	96
ID_3193	11	18	12	19	60
ID_3194	19	36	38	48	62
ID_3195	6	19	14	10	34
ID_3196	27	61	54	42	57
ID_3197	4	10	13	11	35
ID_3198	36	79	60	36	84
ID_3199	19	61	49	41	69
ID_3200	58	103	108	78	125
ID_3201	34	65	62	49	61
ID_3202	26	55	69	40	62
ID_3203	75	202	180	111	201
ID_3204	28	39	57	41	57
ID_3205	20	55	64	27	43
ID_3206	35	77	65	39	74
ID_3207	19	33	37	9	15
ID_3208	30	54	81	22	48
ID_3209	17	20	19	5	10
ID_3210	8	16	18	4	35
ID_3211	23	42	44	25	51
ID_3212	10	26	30	3	11
ID_3213	24	54	59	36	49
ID_3214	17	46	59	33	90
ID_3215	86	171	140	71	74
ID_3216	42	100	87	61	91
ID_3217	19	58	51	21	39
ID_3218	12	21	16	14	31
ID_3219	12	28	19	22	22
ID_3220	2	16	5	2	3
ID_3221	11	11	20	8	17
ID_3222	31	61	53	80	138
ID_3223	12	29	39	36	120
ID_3224	3	22	34	26	36
ID_3225	9	26	33	31	24
ID_3226	149	317	356	238	324
ID_3227	44	80	86	65	99
ID_3228	38	85	66	58	56
ID_3229	59	109	115	115	153
ID_3230	10	21	38	24	47
ID_3231	18	44	30	19	37
ID_3232	24	46	35	6	6
ID_3233	13	26	13	11	36
ID_3234	29	71	111	56	85
ID_3235	41	82	86	16	13
ID_3236	15	43	55	11	37
ID_3237	109	294	248	186	255
ID_3238	20	58	49	43	79
ID_3239	12	25	27	6	15
ID_3240	9	9	16	10	30
ID_3241	50	67	101	56	108
ID_3242	29	47	61	13	43
ID_3243	35	90	78	63	101
ID_3244	14	24	16	20	12
ID_3245	19	43	41	22	41
ID_3246	32	94	103	87	142
ID_3247	55	117	127	59	164
ID_3248	12	22	33	18	48
ID_3249	1	22	12	8	7
ID_3250	6	13	13	19	43
ID_3251	5	14	29	10	12
ID_3252	8	26	39	16	31
ID_3253	16	11	24	15	29
ID_3254	52	109	106	76	106
ID_3255	49	86	116	83	141
ID_3256	16	33	33	26	39
ID_3257	14	26	27	22	31
ID_3258	0	0	0	0	0
ID_3259	19	37	27	25	45
ID_3260	47	83	108	77	130
ID_3261	6	11	9	13	42
ID_3262	1	4	2	13	35
ID_3263	25	38	56	47	82
ID_3264	21	38	38	12	22
ID_3265	14	24	32	25	55
ID_3266	4	19	22	20	47
ID_3267	23	40	43	38	55
ID_3268	25	35	73	37	84
ID_3269	6	4	8	10	31
ID_3270	15	20	20	49	113
ID_3271	4	9	21	16	42
ID_3272	67	208	198	95	178
ID_3273	20	52	32	35	52
ID_3274	40	56	49	51	90
ID_3275	26	45	44	33	60
ID_3276	50	119	62	64	96
ID_3277	29	66	93	82	121
ID_3278	6	16	18	21	45
ID_3279	26	53	54	49	99
ID_3280	22	65	58	40	102
ID_3281	23	25	34	20	38
ID_3282	14	31	38	29	40
ID_3283	24	33	47	33	50
ID_3284	21	36	42	34	39
ID_3285	7	23	13	3	6
ID_3286	25	57	40	35	46
ID_3287	32	64	88	51	74
ID_3288	33	60	66	51	68
ID_3289	113	198	209	139	165
ID_3290	19	30	47	25	34
ID_3291	7	10	8	12	35
ID_3292	16	27	23	11	23
ID_3293	5	16	16	8	31
ID_3294	42	72	96	67	153
ID_3295	15	37	35	27	43
ID_3296	9	10	13	24	25
ID_3297	2	14	11	10	8
ID_3298	13	29	29	36	52
ID_3299	15	38	43	36	66
ID_3300	19	46	47	28	51
ID_3301	13	20	20	18	21
ID_3302	36	69	85	65	88
ID_3303	7	28	16	18	12
ID_3304	38	99	110	58	109
ID_3305	30	46	57	45	72
ID_3306	26	46	52	29	40
ID_3307	9	15	25	11	21
ID_3308	0	18	4	4	5
ID_3309	20	55	45	22	32
ID_3310	29	82	72	52	61
ID_3311	61	174	149	97	138
ID_3312	1	7	19	4	75
ID_3313	14	24	35	30	33
ID_3314	13	23	40	41	68
ID_3315	6	6	17	22	53
ID_3316	19	25	35	50	88
ID_3317	31	79	67	48	65
ID_3318	35	90	78	30	48
ID_3319	28	50	35	27	43
ID_3320	3	14	4	5	1
ID_3321	45	113	91	44	82
ID_3322	18	39	41	32	24
ID_3323	6	13	10	20	27
ID_3324	13	51	41	33	45
ID_3325	21	32	38	17	36
ID_3326	6	23	27	23	24
ID_3327	6	20	28	31	32
ID_3328	35	118	87	58	75
ID_3329	19	34	37	23	73
ID_3330	26	57	57	50	61
ID_3331	29	53	62	40	63
ID_3332	32	46	49	27	29
ID_3333	45	66	71	40	56
ID_3334	65	175	139	80	166
ID_3335	41	101	116	79	128
ID_3336	16	39	38	38	66
ID_3337	11	17	19	15	25
ID_3338	38	95	92	17	26
ID_3339	18	60	61	25	40
ID_3340	69	143	159	84	124
ID_3341	15	37	29	14	16
ID_3342	69	140	130	55	144
ID_3343	11	30	26	26	45
ID_3344	32	74	78	48	71
ID_3345	24	45	29	38	59
ID_3346	54	94	81	10	32
ID_3347	10	32	24	3	10
ID_3348	11	31	43	42	47
ID_3349	9	37	29	34	26
ID_3350	91	178	149	115	172
ID_3351	22	52	72	56	74
ID_3352	17	45	28	22	49
ID_3353	29	50	43	35	60
ID_3354	21	43	61	56	102
ID_3355	13	47	35	30	39
ID_3356	36	89	72	38	88
ID_3357	114	249	224	156	208
ID_3358	21	49	46	31	29
ID_3359	29	79	69	45	52
ID_3360	22	62	55	36	64
ID_3361	66	171	165	104	169
ID_3362	94	228	216	154	243
ID_3363	5	21	30	16	30
ID_3364	13	45	39	25	24
ID_3365	7	22	17	18	8
ID_3366	12	22	25	17	34
ID_3367	10	62	41	21	37
ID_3368	13	26	25	17	37
ID_3369	31	51	49	50	41
ID_3370	76	151	140	92	121
ID_3371	0	0	0	0	0
ID_3372	22	31	16	8	10
ID_3373	26	74	84	43	66
ID_3374	24	68	52	35	67
ID_3375	18	47	45	21	40
ID_3376	13	39	31	19	26
ID_3377	54	147	142	89	155
ID_3378	13	23	26	17	41
ID_3379	57	101	103	36	74
ID_3380	10	18	23	12	26
ID_3381	33	80	54	46	66
ID_3382	11	38	20	19	30
ID_3383	10	23	29	30	27
ID_3384	13	29	18	18	22
ID_3385	16	24	36	19	43
ID_3386	72	162	163	93	208
ID_3387	16	40	40	34	34
ID_3388	31	100	94	51	85
ID_3389	27	42	35	47	52
ID_3390	19	41	46	46	63
ID_3391	16	17	17	11	37
ID_3392	12	38	50	31	58
ID_3393	22	59	58	58	75
ID_3394	25	42	49	25	45
ID_3395	12	7	8	4	11
ID_3396	18	55	60	11	17
ID_3397	29	56	51	17	26
ID_3398	25	52	50	20	47
ID_3399	3	15	29	4	10
ID_3400	22	41	74	26	37
ID_3401	27	53	60	42	54
ID_3402	1	6	7	7	16
ID_3403	41	106	88	52	78
ID_3404	11	37	47	25	29
ID_3405	21	76	56	40	54
ID_3406	8	20	16	29	60
ID_3407	64	206	162	129	196
ID_3408	6	24	15	8	20
ID_3409	16	47	43	40	60
ID_3410	6	13	32	10	12
ID_3411	10	29	22	8	10
ID_3412	17	25	36	21	40
ID_3413	15	29	42	21	32
ID_3414	24	50	46	20	38
ID_3415	29	64	53	58	120
ID_3416	42	110	96	69	112
ID_3417	8	13	19	24	34
ID_3418	25	70	40	33	22
ID_3419	53	97	70	56	65
ID_3420	31	44	54	18	29
ID_3421	21	40	43	21	31
ID_3422	69	118	112	52	65
ID_3423	16	31	31	17	26
ID_3424	9	20	28	12	30
ID_3425	9	15	25	26	49
ID_3426	16	26	23	11	30
ID_3427	15	41	31	17	26
ID_3428	23	49	75	42	100
ID_3429	6	7	3	2	25
ID_3430	19	32	41	4	7
ID_3431	31	64	51	22	39
ID_3432	40	94	103	76	127
ID_3433	14	35	15	18	24
ID_3434	15	26	42	11	22
ID_3435	6	23	44	18	46
ID_3436	86	160	159	125	197
ID_3437	9	20	18	20	37
ID_3438	16	30	39	15	26
ID_3439	95	247	225	139	190
ID_3440	23	50	63	35	54
ID_3441	37	100	117	64	111
ID_3442	25	49	55	38	47
ID_3443	12	25	27	16	29
ID_3444	16	28	27	7	15
ID_3445	10	18	33	17	24
ID_3446	12	37	27	34	57
ID_3447	17	27	30	27	59
ID_3448	78	133	109	35	58
ID_3449	41	60	53	17	21
ID_3450	15	18	19	11	9
ID_3451	11	37	19	5	6
ID_3452	41	81	96	48	75
ID_3453	11	21	24	16	31
ID_3454	8	26	25	11	14
ID_3455	7	20	25	23	41
ID_3456	24	50	64	33	40
ID_3457	35	76	75	40	97
ID_3458	42	100	99	92	109
ID_3459	9	25	14	17	18
ID_3460	7	19	21	28	56
ID_3461	46	70	63	52	72
ID_3462	7	29	34	24	26
ID_3463	13	22	25	10	26
ID_3464	23	47	54	34	43
ID_3465	6	18	14	7	9
ID_3466	82	210	199	128	231
ID_3467	14	9	14	2	4
ID_3468	21	45	54	34	66
ID_3469	90	212	206	129	210
ID_3470	13	37	35	43	46
ID_3471	5	16	22	10	24
ID_3472	22	45	75	27	107
ID_3473	8	29	26	8	22
ID_3474	25	75	90	52	98
ID_3475	8	18	14	23	20
ID_3476	28	69	57	33	64
ID_3477	11	22	26	17	42
ID_3478	13	23	38	22	44
ID_3479	6	20	15	19	27
ID_3480	20	22	49	27	37
ID_3481	70	151	147	121	163
ID_3482	65	123	121	88	115
ID_3483	11	17	14	24	25
ID_3484	23	52	60	32	54
ID_3485	12	24	48	28	40
ID_3486	27	67	34	31	35
ID_3487	53	113	75	68	60
ID_3488	64	142	137	63	146
ID_3489	17	28	25	16	26
ID_3490	15	31	28	11	18
ID_3491	21	52	48	25	14
ID_3492	22	34	66	27	31
ID_3493	7	16	26	31	20
ID_3494	20	51	51	30	54
ID_3495	40	83	90	58	86
ID_3496	28	41	64	43	69
ID_3497	14	72	80	42	65
ID_3498	32	52	50	37	53
ID_3499	62	102	76	63	84
ID_3500	24	63	52	34	49
ID_3501	21	36	40	32	66
ID_3502	36	61	82	47	88
ID_3503	88	204	192	100	180
ID_3504	41	109	85	68	98
ID_3505	14	45	36	19	34
ID_3506	36	56	57	26	70
ID_3507	19	57	55	39	65
ID_3508	31	65	58	48	113
ID_3509	128	276	232	181	263
ID_3510	9	20	32	7	9
ID_3511	9	20	11	10	30
