GeneID	WT_na1	WT_na2	11_WT_na_CD8	dKO_na1	12_dKO_na_CD8
ID_211	3	20	13	13	22
ID_212	8	23	19	33	59
ID_213	16	46	56	16	55
ID_214	39	84	77	43	69
ID_215	43	121	110	64	89
ID_216	17	21	25	15	17
ID_217	5	20	16	1	3
ID_218	8	14	27	10	11
ID_219	29	57	86	2	10
ID_220	13	20	40	0	2
ID_221	13	26	44	12	12
ID_222	11	27	25	4	8
ID_223	3	19	17	15	18
ID_224	52	114	102	83	97
ID_225	9	26	26	16	14
ID_226	13	35	40	15	29
ID_227	17	33	29	25	41
ID_228	41	93	106	58	90
ID_229	12	23	32	33	34
ID_230	13	22	41	19	41
ID_231	29	82	81	48	75
ID_232	9	15	38	17	21
ID_233	7	25	20	18	22
ID_234	16	32	33	10	29
ID_235	13	20	26	27	26
ID_236	49	111	103	74	89
ID_237	19	47	73	10	22
ID_238	18	59	74	35	96
ID_239	88	208	169	60	87
ID_240	18	46	53	39	62
ID_241	14	33	35	25	28
ID_242	63	148	126	106	122
ID_243	18	34	21	12	11
ID_244	17	28	38	35	22
ID_245	13	30	20	7	5
ID_246	8	19	28	26	23
ID_247	0	2	8	1	25
ID_248	8	30	33	14	23
ID_249	15	37	23	15	22
ID_250	11	26	39	21	40
ID_251	11	21	29	27	16
ID_252	19	28	44	20	25
ID_253	15	33	23	31	38
ID_254	17	18	19	19	33
ID_255	18	36	49	29	60
ID_256	19	34	54	45	61
ID_257	25	68	76	49	103
ID_258	10	30	24	19	29
ID_259	15	38	51	27	45
ID_260	29	72	76	38	69
ID_261	77	181	197	88	174
ID_262	4	19	13	13	31
ID_263	61	128	83	62	88
ID_264	34	59	48	36	52
ID_265	4	20	18	8	40
ID_266	18	66	70	44	84
ID_267	17	31	9	22	45
ID_268	9	36	45	35	53
ID_269	5	13	12	13	40
ID_270	1	16	10	6	5
ID_271	21	37	42	42	47
ID_272	28	58	60	11	23
ID_273	10	43	34	11	24
ID_274	47	65	92	32	62
ID_275	13	28	37	15	25
ID_276	10	19	26	19	29
ID_277	0	0	0	0	0
ID_278	14	18	22	18	30
ID_279	12	30	23	14	19
ID_280	17	28	35	20	48
ID_281	14	22	21	23	28
ID_282	4	23	22	9	27
ID_283	39	73	99	22	49
ID_284	14	38	23	19	17
ID_285	82	230	217	130	208
ID_286	36	77	98	16	30
ID_287	21	44	57	13	48
ID_288	50	59	80	65	98
ID_289	18	41	39	16	42
ID_290	110	260	256	173	244
ID_291	23	48	44	26	36
ID_292	11	34	30	23	32
ID_293	9	43	43	20	32
ID_294	55	140	124	84	134
ID_295	32	90	64	50	67
ID_296	45	98	110	63	119
ID_297	7	21	14	6	17
ID_298	54	126	112	65	100
ID_299	90	167	190	167	222
ID_300	10	20	20	30	32
ID_301	35	38	58	41	58
ID_302	0	0	0	0	0
ID_303	124	294	310	193	345
ID_304	12	24	24	8	28
ID_305	5	13	24	6	4
ID_306	27	57	74	37	72
ID_307	12	20	30	17	33
ID_308	16	49	35	18	44
ID_309	10	8	31	19	22
ID_310	84	228	190	135	198
ID_311	9	36	37	22	47
ID_312	9	26	34	14	28
ID_313	17	12	17	7	8
ID_314	50	79	101	71	123
ID_315	133	256	219	197	260
ID_316	12	28	20	24	16
ID_317	20	68	91	41	94
ID_318	16	28	25	26	31
ID_319	12	36	25	21	34
ID_320	60	116	116	91	125
ID_321	12	24	21	22	34
ID_322	35	69	85	69	81
ID_323	17	57	30	39	66
ID_324	23	57	65	46	78
ID_325	52	106	96	62	112
ID_326	25	69	48	12	15
ID_327	10	30	22	19	39
ID_328	36	76	70	34	38
ID_329	83	222	166	113	194
ID_330	56	142	119	89	118
ID_331	0	0	0	0	0
ID_332	58	146	138	102	146
ID_333	10	27	29	6	6
ID_334	21	39	25	11	17
ID_335	7	35	28	14	21
ID_336	18	18	21	27	40
ID_337	9	29	35	28	44
ID_338	3	8	32	10	13
ID_339	16	69	67	28	53
ID_340	27	66	58	36	92
ID_341	20	41	36	29	44
ID_342	41	81	94	24	36
ID_343	43	66	71	50	43
ID_344	15	38	30	16	28
ID_345	20	41	32	27	43
ID_346	8	18	8	8	24
ID_347	15	46	38	33	46
ID_348	42	67	109	68	107
ID_349	22	51	41	36	43
ID_350	6	35	22	14	23
ID_351	56	189	158	111	186
ID_352	6	17	24	18	26
ID_353	40	101	90	35	91
ID_354	20	57	55	41	57
ID_355	67	188	172	129	185
ID_356	43	66	86	55	90
ID_357	35	44	65	24	59
ID_358	18	29	39	20	32
ID_359	18	33	33	17	44
ID_360	38	101	103	94	142
ID_361	18	34	26	30	37
ID_362	12	19	24	21	28
ID_363	29	47	60	45	36
ID_364	20	43	30	41	53
ID_365	23	65	58	41	44
ID_366	29	87	106	65	123
ID_367	9	17	25	14	26
ID_368	11	15	29	20	28
ID_369	14	26	35	6	10
ID_370	11	22	35	31	36
ID_371	7	26	27	34	37
ID_372	19	47	33	20	39
ID_373	23	47	48	13	43
ID_374	14	48	26	19	28
ID_375	40	72	92	34	55
ID_376	18	47	53	13	39
ID_377	17	61	49	23	40
ID_378	8	22	20	10	17
ID_379	28	59	59	22	69
ID_380	22	36	29	16	26
ID_381	33	119	97	57	97
ID_382	13	31	5	9	13
ID_383	16	29	40	15	39
ID_384	20	36	32	25	25
ID_385	12	31	47	28	51
ID_386	10	26	28	10	24
ID_387	19	71	64	64	70
ID_388	1	21	8	4	8
ID_389	18	48	42	22	41
ID_390	40	86	66	69	115
ID_391	36	74	55	32	61
ID_392	49	124	120	69	78
ID_393	10	22	14	31	22
ID_394	6	30	16	14	20
ID_395	99	272	208	176	211
ID_396	0	0	0	0	0
ID_397	49	184	135	62	163
ID_398	26	83	81	52	93
ID_399	4	40	20	15	10
ID_400	12	32	25	6	8
ID_401	14	30	43	25	36
ID_402	10	37	58	36	38
ID_403	47	122	110	59	118
ID_404	14	43	25	21	40
ID_405	25	64	55	34	59
ID_406	16	46	32	14	37
ID_407	18	35	41	40	47
ID_408	47	132	113	63	83
ID_409	22	53	49	26	49
ID_410	14	37	18	15	8
ID_411	12	34	33	19	34
ID_412	6	18	18	4	2
ID_413	27	67	51	33	61
ID_414	35	122	105	73	94
ID_415	8	21	24	9	19
ID_416	20	51	47	29	62
ID_417	51	89	97	56	75
ID_418	27	56	56	65	110
ID_419	17	47	38	44	52
ID_420	33	58	81	45	112
ID_421	25	61	56	23	35
ID_422	19	22	31	14	33
ID_423	39	73	76	51	84
ID_424	9	27	30	28	19
ID_425	62	146	72	75	100
ID_426	14	37	26	14	26
ID_427	51	134	130	88	130
ID_428	22	67	54	42	61
ID_429	13	33	23	16	22
ID_430	7	18	13	6	27
ID_431	9	36	41	19	36
ID_432	10	37	23	17	21
ID_433	10	19	25	24	39
ID_434	7	10	25	22	47
ID_435	34	64	50	36	45
ID_436	14	19	27	2	41
ID_437	6	8	14	10	21
ID_438	10	33	35	28	38
ID_439	6	25	19	13	13
ID_440	43	90	81	50	86
ID_441	19	41	42	41	53
ID_442	27	74	55	37	67
ID_443	77	192	159	114	143
ID_444	23	66	59	38	76
ID_445	8	30	22	26	45
ID_446	3	5	15	16	30
ID_447	1	9	17	9	30
ID_448	50	126	101	76	112
ID_449	10	34	26	12	41
ID_450	35	76	84	60	93
ID_451	26	30	45	20	20
ID_452	5	13	20	10	23
ID_453	24	42	48	23	28
ID_454	22	35	54	20	49
ID_455	26	57	66	43	60
ID_456	28	92	81	59	92
ID_457	25	39	39	33	46
ID_458	76	164	168	84	149
ID_459	16	34	64	52	110
ID_460	3	10	16	12	37
ID_461	6	22	27	7	28
ID_462	15	14	22	10	23
ID_463	9	17	21	19	36
ID_464	26	50	66	44	71
ID_465	65	139	115	91	152
ID_466	17	64	62	30	63
ID_467	36	132	118	71	136
ID_468	15	35	36	17	19
ID_469	38	111	111	64	142
ID_470	7	25	21	10	13
ID_471	32	52	79	27	42
ID_472	18	34	45	29	38
ID_473	12	32	20	20	28
ID_474	7	24	26	9	14
ID_475	3	7	18	8	36
ID_476	7	14	19	13	29
ID_477	8	15	23	27	89
ID_478	72	135	128	99	141
ID_479	32	64	91	75	97
ID_480	35	80	97	50	81
