Name	Description	Control	Treatment
LINC00311	10193	0.487254109770885	0.0
LINC00346	10216	3.41520104251088	3.05943851662736
LINC00399	10246	0.488728201142446	0.0
LINC00482	10290	0.488728201142446	0.0
LINC00499	10301	0.488728201142446	0.0
LINC00514	10309	0.487254109770885	0.511095106036702
LINC00540	10324	1.9504905304551	1.53090794491249
LINC00551	10330	0.487254109770885	0.511095106036702
LINC00565	10339	0.487254109770885	0.511095106036702
LINC00571	10342	0.488728201142446	0.0
LINC00598	10358	1.46471051205578	1.01981283887579
LINC00623	10376	0.488728201142446	0.0
LINC00634	10384	0.487254109770885	0.0
LINC00639	10389	0.975982310913331	0.511095106036702
LINC00671	10413	0.487254109770885	0.0
LINC00672	10414	6.34609615799399	6.11887703325471
LINC00683	10422	0.488728201142446	0.0
LINC00824	10444	0.488728201142446	0.0
LINC00856	10460	0.975982310913331	1.01981283887579
LINC00861	10463	5.37306202982378	5.09906419437893
LINC00862	10464	0.487254109770885	0.511095106036702
LINC00877	10472	0.97450821954177	0.511095106036702
LINC00882	10476	0.975982310913331	0.508717732839083
LINC00889	10483	0.488728201142446	0.0
LINC00900	10493	0.977456402284892	0.508717732839083
LINC00907	10498	0.488728201142446	0.511095106036702
LINC00908	10499	0.487254109770885	0.0
LINC00935	10518	0.488728201142446	0.0
LINC00954	10531	5.3686397557091	5.09906419437893
LINC00958	10534	0.975982310913331	0.511095106036702
LINC00969	10543	8.78973716370622	9.18069292307969
LINC00971	10545	0.487254109770885	0.511095106036702
LINC00989	10550	1.46323642068422	1.52853057171487
LINC00992	10551	0.488728201142446	0.0
LINC00996	10554	0.975982310913331	1.01981283887579
LINC01012	10568	17.0819015780406	16.8352326476421
LINC01016	10572	0.488728201142446	0.0
LINC01018	10574	0.487254109770885	0.0
LINC01046	10591	0.487254109770885	0.508717732839083
LINC01053	10596	0.487254109770885	0.0
LINC01057	10600	0.97450821954177	0.511095106036702
LINC01085	10614	1.46176232931266	1.0221902120734
LINC01088	10616	2.44069282296911	2.03724830455395
LINC01091	10619	1.46471051205578	1.01981283887579
LINC01094	10621	9.2696208166193	9.68941065591877
LINC01114	10637	0.975982310913331	0.511095106036702
LINC01135	10655	0.487254109770885	0.508717732839083
LINC01136	10656	0.487254109770885	0.0
LINC01164	10674	0.488728201142446	0.0
LINC01182	10684	1.46471051205578	1.01981283887579
LINC01185	10686	0.487254109770885	0.0
LINC01187	10688	0.488728201142446	0.0
LINC01251	10735	0.487254109770885	0.508717732839083
LINC01257	10740	0.975982310913331	0.508717732839083
LINC01260	10742	0.488728201142446	0.0
LINC01269	10749	0.488728201142446	0.0
LINC01279	10757	1.9504905304551	1.53090794491249
LINC01298	10768	0.487254109770885	0.0
LINC01301	10771	0.487254109770885	0.0
LINC01347	10800	103.939904975212	104.02090956533
LINC01352	10804	0.975982310913331	0.508717732839083
LINC01372	10818	0.487254109770885	0.508717732839083
LINC01393	10828	0.488728201142446	0.0
LINC01447	10863	1.46176232931266	1.01981283887579
LINC01473	10874	6.34019979250775	6.11887703325471
LINC01506	10907	0.487254109770885	0.0
LINC01515	10915	6.34462206662243	6.12125440645233
LINC01526	10926	0.487254109770885	0.511095106036702
LINC01535	10933	2.44216691434067	2.03724830455395
LINC01545	10940	0.975982310913331	1.01743546567817
LINC01547	10942	22.4505413337497	22.4430145748601
LINC01555	10950	0.488728201142446	0.508717732839083
LINC01558	10952	0.487254109770885	0.0
LINC01563	10956	0.487254109770885	0.0
LINC01583	10972	0.487254109770885	0.0
LINC01585	10974	2.92794693273999	3.05943851662736
LINC01587	10976	0.487254109770885	0.0
LINC01588	10977	11.7088395482169	11.7266589604727
LINC01600	10984	0.97450821954177	0.508717732839083
LINGO1-AS1	10999	0.488728201142446	0.0
LIPC	11006	1.95196462182666	1.52615319851725
LIPN	11016	5.85294568273686	6.11649966005709
LMCD1-AS1	11039	0.977456402284892	0.511095106036702
LOC100128317	11082	0.487254109770885	0.0
LOC100128531	11086	0.488728201142446	0.511095106036702
LOC100128568	11088	0.97450821954177	0.511095106036702
LOC100128770	11092	0.487254109770885	0.0
LOC100129027	11095	6.34019979250775	6.63234951248903
LOC100129046	11097	0.488728201142446	0.511095106036702
LOC100129083	11099	0.487254109770885	0.511095106036702
LOC100129203	11103	12.6848218591302	12.7512265457437
LOC100129216	11104	0.488728201142446	0.0
LOC100130417	11133	2.44069282296911	2.54834341059065
LOC100130451	11134	1.46618460342734	1.01981283887579
LOC100130987	11149	4.88138564593821	4.58321434194699
LOC100131626	11160	0.488728201142446	0.511095106036702
LOC100133920	11188	0.487254109770885	0.0
LOC100240735	11201	0.97450821954177	0.511095106036702
LOC100271832	11205	0.487254109770885	0.508717732839083
LOC100288181	11227	0.975982310913331	1.0221902120734
LOC100288842	11234	10.2529735843904	10.1933736423626
LOC100288911	11237	0.487254109770885	0.0
LOC100289473	11241	0.487254109770885	0.0
LOC100420587	11255	0.975982310913331	1.01981283887579
LOC100505622	11269	0.487254109770885	0.508717732839083
LOC100505817	11279	0.488728201142446	0.0
LOC100505920	11286	0.975982310913331	0.508717732839083
LOC100506125	11303	0.488728201142446	0.0
LOC100506175	11308	0.975982310913331	0.508717732839083
LOC100506188	11310	0.487254109770885	0.508717732839083
LOC100506207	11311	2.92794693273999	3.05943851662736
LOC100506274	11315	0.487254109770885	0.508717732839083
