GeneID	logFC	logCPM	F	PValue	FDR
ID_28809	12.7590936079288	7.67196164239546	588.898942909103	8.54007052197103e-129	2.46184612936859e-124
ID_28768	12.8299822628948	7.76210998610746	576.255309871617	4.23846480173431e-126	6.10911124197975e-122
ID_28773	12.4630456837197	7.29805345519878	573.106830611101	1.98925887482261e-125	1.91147885281704e-121
ID_28807	13.1645378546025	7.98671255196887	565.891987141925	6.88194824273101e-124	4.95964804983017e-120
ID_28767	12.3809484131497	7.29297582067312	559.839658693913	1.34607662072484e-122	7.76067014912701e-119
ID_28791	13.1819115848129	8.0948004515457	540.55146808534	1.76379416104584e-118	8.47414904674476e-115
ID_28769	12.1616950743939	7.03348071346894	532.204033900607	1.06970607403255e-116	4.40520242801946e-113
ID_28826	12.0838394002028	7.01181153975131	518.80280831371	7.8094885510775e-114	2.81405158077389e-110
ID_28820	12.0572615860128	6.99756115480294	514.693456055997	5.90109697042351e-113	1.89012135962665e-109
ID_28796	12.0269581491134	7.01046213893687	509.579438086408	7.31417372215598e-112	2.1084568588859e-108
ID_28797	11.950892142972	6.85759868093234	499.054842441767	1.30224826608226e-109	3.41271916057758e-106
ID_28759	11.9234521135815	6.85094358494758	494.658417518234	1.13519591642343e-108	2.72702439022819e-105
ID_24854	6.77180295541851	7.25870904993357	491.256300252674	6.0656565646621e-108	1.34503601376549e-104
ID_28771	13.6769466150499	8.51980150064212	482.936731799686	3.65647483241387e-106	7.5289428567139e-103
ID_1579	5.38854183368783	6.77988272988737	477.734926429296	4.746906254802e-105	9.12260444047849e-102
ID_28772	11.783537448115	6.66182979527262	461.504711330037	1.41780334263965e-101	2.55443855989207e-98
ID_28821	11.6349299086369	6.54508612957418	428.911692305477	1.37103742047553e-94	2.32487621882636e-91
ID_12241	9.27849169209907	6.69820324466268	445.215455925674	5.19900931233385e-93	8.32621341370266e-90
ID_28827	11.5692345122339	6.50724229366286	417.038574928708	4.83014787282861e-92	7.32835119631738e-89
ID_28822	11.5296511260579	6.47071751092511	407.347838320024	5.80257780642397e-90	8.36354552128919e-87
ID_24858	7.8181775690209	6.53634337520178	406.636807446687	8.24597643740715e-90	1.13193696552922e-86
ID_28782	11.4881289280562	6.53314674045062	406.520697533821	8.73303549433868e-90	1.14430551906955e-86
ID_28810	11.4644706127996	6.36271711821462	388.867666236078	5.39224349276555e-86	6.75835665938924e-83
ID_24855	6.87916674284681	6.55887845379501	389.685549889454	7.29625797065768e-86	8.7637178550062e-83
ID_28770	11.4501198550963	6.3626754107335	386.896374909407	1.42965083939111e-85	1.64850178988511e-82
ID_28792	11.300751832944	6.23718309472845	352.8890897473	2.92336369812357e-78	3.24122328176185e-75
ID_28788	11.2819725351387	6.24121569129459	350.947951410911	7.64695512131959e-78	8.16439908452888e-75
ID_28794	11.2927218803703	6.22276934561929	350.328407836685	1.03939567943075e-77	1.07009497324822e-74
ID_28789	9.44275278733186	6.85070598101834	464.1932698496	6.54610977217347e-76	6.5070588414636e-73
ID_28762	11.2453737211533	6.17279407941734	339.993112145242	1.7413914484897e-75	1.67330304285375e-72
ID_28793	11.1985692872817	6.21630015672794	337.903214651182	4.90629298070859e-75	4.56237766951247e-72
ID_1577	4.40482269873654	6.38785684197259	323.225079060755	7.10251039543467e-72	6.39825209903735e-69
ID_28818	11.1370753457255	6.06721532326384	315.387366959456	3.46691613374668e-70	3.02850882992472e-67
ID_28775	11.1280822297747	6.05791012329589	313.414963353423	9.22493939314049e-70	7.82139199664885e-67
ID_28817	11.0915318008689	6.01285346799306	304.769336921095	6.73584872820838e-68	5.54783746537323e-65
ID_28780	11.0284964249037	5.95622219366688	292.311793949754	3.27111238506622e-65	2.61934324234178e-62
ID_28824	8.51021578736077	5.97511671212514	275.335563175253	3.78251907945547e-58	2.94699128387737e-55
ID_28774	10.7719259775577	5.88882991832601	258.757601807946	5.72729841909543e-58	4.34475872440168e-55
ID_28800	10.8684374740076	5.77958565733679	256.593473585803	1.68079448242495e-57	1.24236570627857e-54
ID_6981	5.76534190545091	5.97657721373327	241.390030060436	5.25662314541444e-54	3.78831688532155e-51
